1,青椒干子冉丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
2,木须肉饭 ,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
3,麻辣豆腐饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
4,回锅肉饭,2,10,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
5,酸辣土豆肉丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
6,木耳炒蛋饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
7,韭菜内丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
8,韭菜炒蛋饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
9,青菜油面筋饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
10,爆炒鸡杂饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
11,鱼香肉丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
12,青椒肉丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
13,青椒炒蛋饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
14,泡菜肉丝饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
15,鸡蛋炒饭,2,6,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
16,蚝油牛柳饭,2,10,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
17,爆炒鹅肠饭,2,9,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
18,西红柿烧茄子饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
19,宫爆鸡丁饭,2,9,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
20,西红柿炒蛋饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
21,鱼香茄子饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
22,红烧肥肠饭,2,10,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
23,家常豆腐饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
24,丝瓜炒蛋饭,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
25,老妈藕丁饭,2,7,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
26,酸辣土豆丝饭,2,6,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
27,阳春面,2,8,,2011-12-17 18:56:27.509713,2011-12-17 18:56:27.509713
28,阿九打卤饭,1,8,,2011-12-18 17:16:07.018684,2011-12-18 17:16:07.018714
29,台湾鲁肉饭,1,9,,2011-12-18 17:16:31.465819,2011-12-18 17:16:31.465851
30,平菇鸡蛋饭,1,8,,2011-12-18 17:17:01.239159,2011-12-18 17:17:01.239191
31,酱香鸡丁饭,1,8,,2011-12-18 17:17:38.624799,2011-12-18 17:17:38.624849
32,青椒干子肉丝饭,1,8,,2011-12-18 17:18:22.450861,2011-12-18 17:18:22.450913
33,土豆肉丝饭,1,8,,2011-12-18 17:18:48.465804,2011-12-18 17:18:48.465837
34,鱼香肉丝饭,1,9,,2011-12-18 17:19:17.931219,2011-12-18 17:19:17.931248
35,雪菜毛豆肉丝饭,1,9,,2011-12-18 17:19:43.307499,2011-12-18 17:19:43.307531
36,双菇肉片饭,1,9,,2011-12-18 17:21:05.905623,2011-12-18 17:21:05.905654
37,剁椒肉片饭,1,9,,2011-12-18 17:21:37.096082,2011-12-18 17:21:37.096113
38,酸菜肉片饭,1,9,,2011-12-18 17:22:10.980263,2011-12-18 17:22:10.980338
39,酸菜鱼片饭,1,9,,2011-12-18 17:24:41.359148,2011-12-18 17:24:41.359224
40,剁椒鱼片饭,1,9,,2011-12-18 17:25:14.294227,2011-12-18 17:25:14.294271
41,剁椒丝瓜鸡蛋饭,1,9,,2011-12-18 17:25:59.666321,2011-12-18 17:25:59.666366
42,丝瓜咸肉饭,1,10,,2011-12-18 17:27:10.040592,2011-12-18 17:27:10.040622
43,木须肉烩饭,1,9,,2011-12-18 17:28:34.754033,2011-12-18 17:28:34.754063
